SIT_ID,BLOWN
20103,1
22123,1
22202.67,1
30112,1
30124,1
30135.33,1
30531.33,1
31131.33,1
32112,1
32121.33,1
32122.33,1
32201.33,1
32223.33,1
40102,2
40111,1
40112,1
40112.33,1
40121,2
40122,2
40123.33,1
40222.67,1
40224,1
40232.33,1
40233,1
41111.67,1
41121.67,1
41132.67,1
41231.33,1
42112.67,1
42211.33,1
50102,2
50111,1
50121.33,2
50122.67,1
50132,1
50201,1
50213,1
50222.33,1
50231,1
50301.33,1
50331,1
50332.67,1
51112.67,1
51122.33,1
51123,1
51131.67,2
51132.67,1
51321.67,1
51323.67,1
52101,1
52111.33,1
52111.67,1
52121.33,1
52122.33,1
52131.33,1
52221.33,2
52222.33,1
52231.33,3
60101,10
60101.33,2
60101.67,3
60102,6
60104,2
60111,1
60111.33,2
60112,1
60121,5
60121.33,3
60121.67,2
60122,1
60123,1
60132,1
60133,1
60201,5
60201.33,2
60201.67,1
60211.33,1
60221,2
60221.67,1
60222,1
60222.67,1
60231,1
60232,1
60232.33,1
60302,1
60313,1
60404,1
60431,1
60433,1
61101,1
61111,3
61111.67,1
61112.33,1
61121,2
61121.67,2
61122.67,1
61131,1
61131.67,3
61201,1
61211.33,1
61211.67,1
61212.67,1
61222,1
61231.67,1
61232.67,2
61431.67,1
62102.67,1
62111,2
62111.33,3
62112,1
62113.33,1
62121,1
62121.33,1
62121.67,1
62122,2
62131.33,1
62132.33,2
62201.33,1
62211.33,1
62212.33,1
62221.33,1
62222.33,1
62231.33,1
70101,26
70101.33,2
70101.67,7
70102,8
70102.33,1
70102.67,1
70111,10
70111.67,2
70121,7
70121.67,1
70122,2
70131,3
70201,8
70201.33,2
70201.67,3
70202,5
70211,4
70221,3
70231,2
70232,1
70301.33,1
70321,2
71101,1
71101.67,1
71102.67,1
71111,3
71111.33,2
71111.67,4
71112.67,1
71121,2
71121.33,1
71121.67,2
71122.33,1
71123.67,1
71131,1
71131.33,1
71131.67,3
71211.67,1
71221,1
71221.67,2
72101.33,4
72111,2
72111.33,7
72112.33,1
72115.33,1
72121,2
72121.33,4
72121.67,1
72122,1
72131,2
72131.33,2
72211,3
72211.33,2
72212.33,1
72213.33,1
72221.33,1
72231.33,2
72311.33,1
72321.33,1
72432,1
80101,61
80101.33,1
80101.67,6
80102,12
80102.33,1
80104,1
80106,1
80111,4
80111.67,2
80112,3
80121,2
80122,2
80131.67,1
80201,11
80201.67,2
80202,6
80202.33,1
80202.67,1
80211,3
80221,3
80221.33,1
80301,1
80301.33,1
80301.67,1
80302.33,1
80311,1
80321,1
81111,1
81111.33,1
81111.67,5
81112.67,1
81121,1
81121.67,2
81122,1
81201.67,1
81211,1
81211.33,1
81211.67,1
81221.33,1
81221.67,1
81222,1
81311.33,1
81313,1
81321.67,1
82101.33,2
82111,2
82111.33,4
82121,1
82121.33,3
82131,1
82221.33,2
82231.33,1
82321.33,1
90101,47
90101.33,4
90101.67,3
90102,7
90102.67,4
90103,1
90111,3
90201,26
90201.67,2
90222,1
90301,6
90311,1
90321,1
90431,1
91101.33,1
91231,1
91311.33,1
100101,2
100201,1
110101,4
120101,2
120111,1
130431,1